id	tier	observed	class	rustc_verdict	rustc_code_or_exit	logos_today	note
tuple_elem_shared_borrow_through_ref_dangles_run	1	run 1	CONFIRMED	compiles+runs	exit 0	compiles, exit 1	[marked by-reading] &t.1 through &'a tuple escapes legally; control t.1=18 exits 1
operator_operand_owner_after_sibling_exit_leak	1	run 1	CONFIRMED	compiles+runs	exit 0 (r=5 seq=26)	compiles, exit 1 (r=5 seq=2)	[marked by-reading] left == temp dropped on the right operand's return; control seq=2 exit 1
field_base_temp_built_before_sibling_run	1	run 1	CONFIRMED	compiles+runs	exit 0 (k=3 seq=126)	compiles, exit 1 (k=3 seq=216)	[marked by-reading] Rust: side, build, drop at statement end; control seq=12 exit 1
return_array_lit_of_moved_locals_double_drop	1	run 1	CONFIRMED	compiles+runs	exit 0 (n=11)	compiles, exit 1 (n=22)	[marked by-reading] each destructor once; control n=0 exit 1
aggregate_extended_borrow_temp_never_dropped	1	run 1	CONFIRMED	compiles+runs	exit 0 (inside=0 n=1000)	compiles, exit 1 (inside=0 n=0)	[marked by-reading] tuple-operand &temp is lifetime-extended to block end; control n=0 exit 1
closure_param_shadow_double_drop	1	run 1	CONFIRMED	compiles+runs	exit 0 (n=21)	compiles, exit 1	[marked by-reading] local 2 then param 1; control exit 1
match_arm_nested_binder_shadow_double_drop	1	run 1	CONFIRMED	compiles+runs	exit 0 (n=21)	compiles, exit 1	[marked by-reading] arm binding 2 then outer 1; control exit 1
at_binding_by_value_never_dropped	1	run 1	CONFIRMED	compiles+runs	exit 0 (n=21)	compiles, exit 1	[marked by-reading] y@Some(_) by move dropped on return; control exit 1; an earlier twin exists at probes/2026-09-15e-consume/rust/ but the header was never updated
slice_pattern_arm_binding_extra_drops	1	run 1	CONFIRMED	compiles+runs	exit 0 (n=321)	compiles, exit 1	[marked by-reading] b, z, then outer; control exit 1; earlier twin at probes/2026-09-15e-consume/rust/, header not updated
generic_struct_impl_ref_eq_compares_addresses_run	1	run 1	CONFIRMED	compiles+runs	exit 0 (also 0 with derive(Clone,Copy))	compiles, exit 1	[marked by-reading] &W<i64> == &W<i64> goes through impl<T:PartialEq> PartialEq for W<T>; control eq=false exit 1
array_nonprim_elem_eq_compares_addresses_run	1	run 1	CONFIRMED	compiles+runs	exit 0 (8 drops)	compiles, exit 1	[marked by-reading] [S;2]==[S;2] by value and by ref, element-wise, no move; control eq=false exit 1
ref_pair_nonprim_tuple_eq_compares_addresses_run	1	run 1	CONFIRMED	compiles+runs	exit 0 (also 0 with derive(Clone,Copy))	compiles, exit 1	[marked by-reading] &(S,i64)==&(S,i64) and &(String,i64); control eq=false exit 1
param_ref_struct_cast_after_addr_of_reads_slot_run	1	run 1	CONFIRMED	compiles+runs	exit 0 (also 0 with derive(Clone,Copy))	compiles, exit 1	[marked by-reading] h(&x) == x as *const D compares the pointee address; control (another address) exit 1
self_call_in_return_kills_param_drops	1	run 1	CONFIRMED	compiles+runs	exit 0 (n=1000)	compiles, exit 1	[unmarked, value read] parameter dropped on fall-through; control exit 1
weak_local_never_dropped	1	run 1	CONFIRMED	compiles+runs	exit 0 (weak_count 0)	compiles, exit 1	[unmarked, value read] twin changed: std Arc::new / Arc::downgrade / Arc::weak_count; control (w kept alive) exit 1
boxed_move_closure_fat_capture_env_overflow	1	run 134	CONFIRMED	compiles+runs	exit 0	compiles, exit 134	[unmarked, value read] control t="def" exit 1
box_field_move	1	run 134	CONFIRMED	compiles+runs	exit 0	compiles, exit 134	[unmarked, legality read] let v = bx.s moves a field out of a Box (legal); twin: 16i64 -> 16 (usize); control 15 chars exit 1
closure_owned_dyn_capture	1	run 1	CONFIRMED	compiles+runs	exit 0 (also 0 with derive(Clone,Copy))	compiles, exit 1	[unmarked, value read] control v=58 exit 1
enum_payload_partial_move_leak	1	run 1	CONFIRMED	compiles+runs	exit 0 (c=3)	compiles, exit 1	[unmarked, value read] rest of a partially moved enum payload is dropped; control exit 1; earlier twin at probes/2026-09-15e-consume/rust/
variant_payload_char_literal_nomatch	1	run 1	CONFIRMED	compiles+runs	exit 0	compiles, exit 1	[unmarked, value read] control 'y' exit 1
letelse_or_pattern_takes_else	1	run 1	CONFIRMED	compiles+runs	exit 0	compiles, exit 1	[unmarked, legality read] twin changed: rustc requires `let (3 | 7) = v else` (parens; without them it is a syntax error); control v=8 exit 2
