ce01_tail_ifletexpr	5
ce02_elseif_chain_drops	3
ce03_labeled_whilelet_continue	62
ce04_whilelet_temp_receiver	2
ce05_mutref_scrutinee	6
ce06_then_returns_scrut_reused	1
ce07_ifletexpr_value_drop	11
ce08_chain_three_segs	33
ce09_whilelet_chain_guard_fails	60
ce10_definite_assignment	4
ce11_closure_body_iflet	1
ce12_iflet_literal_in_match_in_loop	3
ce13_copy_scrut_reused	6
ce14_chain_ref_then_reuse	12
ce15_whilelet_place_reassigned	66
ce16_chain_guard_moves	61
ce17_field_place_readonly	15
ce18_temp_scrut_readonly	11
ce19_nested_variant_moveout	1
ce20_iflet_break_in_for	2
ce21_ref_binding_self_field	44
ce22_whilelet_place_reinit_break	1
ce23_labeled_continue_leak	4
ce24_enum_partial_payload_leak	3
