array_nonprim_elem_eq_compares_addresses_run	==390970==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==390970== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
at_binding_or_subpattern_enum_segfaults_run	==390974==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==390974== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
boxed_escaping_fnonce_capture_double_free	==390978==   total heap usage: 2 allocs, 2 frees, 40 bytes allocated ==390978== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
boxed_move_closure_fat_capture_env_overflow	==390982==   total heap usage: 2 allocs, 2 frees, 40 bytes allocated ==390982== ERROR SUMMARY: 2 errors from 2 contexts (suppressed: 0 from 0) 
box_field_move	==390986==   total heap usage: 2 allocs, 3 frees, 66 bytes allocated ==390986== ERROR SUMMARY: 1 errors from 1 contexts (suppressed: 0 from 0) 
closure_fnonce_call_in_loop_multi_free	==390990==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==390990== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
closure_fnonce_cond_call_untaken_leak	==390994==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==390994== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
closure_owned_dyn_capture	==390997==   total heap usage: 3 allocs, 3 frees, 40 bytes allocated ==390997== ERROR SUMMARY: 1 errors from 1 contexts (suppressed: 0 from 0) 
closure_param_shadow_double_drop	==391028==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391028== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
enum_payload_partial_move_leak	==391035==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391035== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
enum_variant_value_into_scalar_let_admits	==391039==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391039== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
field_base_temp_built_before_sibling_run	==391045==   total heap usage: 1 allocs, 1 frees, 4,096 bytes allocated ==391045== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
fnptr_field_call_on_temporary_never_dropped_run	==391049==   total heap usage: 1 allocs, 1 frees, 4,096 bytes allocated ==391049== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
foreach_array_rvalue_elements_never_dropped_run	==391055==   total heap usage: 1 allocs, 1 frees, 4,096 bytes allocated ==391055== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
fru_temporary_base_unmoved_field_never_dropped_run	==391058==   total heap usage: 1 allocs, 1 frees, 4,096 bytes allocated ==391058== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
generic_operator_mono_redispatch_operands_double_drop	==391070==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391070== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
generic_struct_impl_ref_eq_compares_addresses_run	==391073==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391073== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
impl_fn_return_stack_env_dangles	==391078==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391078== ERROR SUMMARY: 4 errors from 4 contexts (suppressed: 0 from 0) 
index_place_through_refmut_never_drops_old	==391083==   total heap usage: 1 allocs, 1 frees, 4,096 bytes allocated ==391083== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
let_array_pattern_field_base_unbound_elem_leak	==391095==   total heap usage: 1 allocs, 1 frees, 4,096 bytes allocated ==391095== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
letelse_or_pattern_takes_else	==391096==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated ==391096== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0) 
